Name,url
Mark van Bommel FIFA 09,/player/19765/mark-van-bommel/fifa09/
Tim Howard FIFA 09,/player/16254/tim-howard/fifa09/
Cristiano Zanetti FIFA 09,/player/13077/cristiano-zanetti/fifa09/
Marchena FIFA 09,/player/11576/marchena/fifa09/
Palop FIFA 09,/player/8247/palop/fifa09/
Dejan Stanković FIFA 09,/player/6908/dejan-stankovi%C4%87/fifa09/
Nicola Legrottaglie FIFA 09,/player/4724/nicola-legrottaglie/fifa09/
Gennaro Gattuso FIFA 09,/player/4202/gennaro-gattuso/fifa09/
Bosingwa FIFA 09,/player/2769/bosingwa/fifa09/
Mancini FIFA 09,/player/1235/mancini/fifa09/
Frank Rost FIFA 09,/player/899/frank-rost/fifa09/
Willy Sagnol FIFA 09,/player/883/willy-sagnol/fifa09/
Ryan Giggs FIFA 09,/player/241/ryan-giggs/fifa09/
Martín Cáceres FIFA 09,/player/182495/mart%C3%ADn-c%C3%A1ceres/fifa09/
Vedran Čorluka FIFA 09,/player/181786/vedran-%C4%8Dorluka/fifa09/
Hernanes FIFA 09,/player/180432/hernanes/fifa09/
Ron Kieslaer FIFA 09,/player/178203/ron-kieslaer/fifa09/
Marco Materazzi FIFA 09,/player/177844/marco-materazzi/fifa09/
Giuseppe de Horenbout FIFA 09,/player/177195/giuseppe-de-horenbout/fifa09/
Marko Pantelić FIFA 09,/player/173529/marko-panteli%C4%87/fifa09/
Marek Hamšik FIFA 09,/player/171877/marek-ham%C5%A1ik/fifa09/
Hugo Lloris FIFA 09,/player/167948/hugo-lloris/fifa09/
Manuel Neuer FIFA 09,/player/167495/manuel-neuer/fifa09/
Diego Alves FIFA 09,/player/165580/diego-alves/fifa09/
John Obi Mikel FIFA 09,/player/164477/john-obi-mikel/fifa09/
Gabriel Agbonlahor FIFA 09,/player/164469/gabriel-agbonlahor/fifa09/
Lassana Diarra FIFA 09,/player/163711/lassana-diarra/fifa09/
João Moutinho FIFA 09,/player/162347/jo%C3%A3o-moutinho/fifa09/
Niko Kranjčar FIFA 09,/player/157597/niko-kranj%C4%8Dar/fifa09/
Raúl Albiol FIFA 09,/player/157481/ra%C3%BAl-albiol/fifa09/
De la Peña FIFA 09,/player/157468/de-la-pe%C3%B1a/fifa09/
Ryan Babel FIFA 09,/player/157301/ryan-babel/fifa09/
Ibson FIFA 09,/player/152828/ibson/fifa09/
Rodrigo Ferrante Taddei FIFA 09,/player/149231/rodrigo-ferrante-taddei/fifa09/
Liédson FIFA 09,/player/148302/li%C3%A9dson/fifa09/
Mirel Radoi FIFA 09,/player/148115/mirel-radoi/fifa09/
Roman Pavlyuchenko FIFA 09,/player/147614/roman-pavlyuchenko/fifa09/
Carlos Cuéllar FIFA 09,/player/146970/carlos-cu%C3%A9llar/fifa09/
Servet Çetin FIFA 09,/player/143657/servet-%C3%A7etin/fifa09/
Volkan Demirel FIFA 09,/player/143632/volkan-demirel/fifa09/
Diego Alberto Milito FIFA 09,/player/142708/diego-alberto-milito/fifa09/
Lisandro López FIFA 09,/player/142707/lisandro-l%C3%B3pez/fifa09/
Jô FIFA 09,/player/140384/j%C3%B4/fifa09/
Carlos Salcido FIFA 09,/player/139229/carlos-salcido/fifa09/
Nani FIFA 09,/player/139068/nani/fifa09/
Andrés D'Alessandro FIFA 09,/player/138703/andr%C3%A9s-dalessandro/fifa09/
Goran Pandev FIFA 09,/player/137506/goran-pandev/fifa09/
Julio Baptista FIFA 09,/player/136187/julio-baptista/fifa09/
Wendel FIFA 09,/player/135472/wendel/fifa09/
Doni FIFA 09,/player/134982/doni/fifa09/
Lorik Cana FIFA 09,/player/134956/lorik-cana/fifa09/
Carlos Idriss Kameni FIFA 09,/player/111661/carlos-idriss-kameni/fifa09/
Vicente FIFA 09,/player/111010/vicente/fifa09/
Stewart Downing FIFA 09,/player/54013/stewart-downing/fifa09/
Craig Gordon FIFA 09,/player/53110/craig-gordon/fifa09/
Angelo Palombo FIFA 09,/player/52829/angelo-palombo/fifa09/
Sébastien Squillaci FIFA 09,/player/51105/s%C3%A9bastien-squillaci/fifa09/
Ledley King FIFA 09,/player/50752/ledley-king/fifa09/
Jermain Defoe FIFA 09,/player/50542/jermain-defoe/fifa09/
Lincoln FIFA 09,/player/48752/lincoln/fifa09/
Fabricio Coloccini FIFA 09,/player/48745/fabricio-coloccini/fifa09/
Fernando Meira FIFA 09,/player/47131/fernando-meira/fifa09/
Joaquín FIFA 09,/player/45186/joaqu%C3%ADn/fifa09/
Tomáš Ujfaluši FIFA 09,/player/44902/tom%C3%A1%C5%A1-ujfalu%C5%A1i/fifa09/
John Carew FIFA 09,/player/29488/john-carew/fifa09/
Alexander Frei FIFA 09,/player/20882/alexander-frei/fifa09/
Quim FIFA 09,/player/20731/quim/fifa09/
Yaya Gnegneri Touré FIFA 09,/player/20289/yaya-gnegneri-tour%C3%A9/fifa09/
Arne Friedrich FIFA 09,/player/12695/arne-friedrich/fifa09/
Josip Šimunič FIFA 09,/player/10866/josip-%C5%A1imuni%C4%8D/fifa09/
Roy Makaay FIFA 09,/player/10704/roy-makaay/fifa09/
Hernán Jorge Crespo FIFA 09,/player/7512/hern%C3%A1n-jorge-crespo/fifa09/
Kakhaber Kaladze FIFA 09,/player/7142/kakhaber-kaladze/fifa09/
Pavel Nedved FIFA 09,/player/6235/pavel-nedved/fifa09/
Fernando Morientes FIFA 09,/player/5661/fernando-morientes/fifa09/
Michael Owen FIFA 09,/player/5419/michael-owen/fifa09/
Simone Perrotta FIFA 09,/player/4731/simone-perrotta/fifa09/
Mickaël Landreau FIFA 09,/player/3813/micka%C3%ABl-landreau/fifa09/
Shaun Wright-Phillips FIFA 09,/player/3395/shaun-wright-phillips/fifa09/
Tamudo FIFA 09,/player/2264/tamudo/fifa09/
Robert Pires FIFA 09,/player/1605/robert-pires/fifa09/
Jérôme Rothen FIFA 09,/player/1046/j%C3%A9r%C3%B4me-rothen/fifa09/
Dean Ashton FIFA 09,/player/636/dean-ashton/fifa09/
David Beckham FIFA 09,/player/250/david-beckham/fifa09/
Oscar Cardozo FIFA 09,/player/179752/oscar-cardozo/fifa09/
Miguel Veloso FIFA 09,/player/178007/miguel-veloso/fifa09/
Flip Kuipers FIFA 09,/player/177198/flip-kuipers/fifa09/
Henk Kleynhans FIFA 09,/player/177190/henk-kleynhans/fifa09/
Matías Fernández FIFA 09,/player/174549/mat%C3%ADas-fern%C3%A1ndez/fifa09/
Rafinha FIFA 09,/player/168607/rafinha/fifa09/
Juan Pablo Carrizo FIFA 09,/player/167666/juan-pablo-carrizo/fifa09/
Juan Manuel Vargas FIFA 09,/player/167305/juan-manuel-vargas/fifa09/
Martin Škrtel FIFA 09,/player/166706/martin-%C5%A1krtel/fifa09/
De la Red FIFA 09,/player/163891/de-la-red/fifa09/
Giuseppe Rossi FIFA 09,/player/162409/giuseppe-rossi/fifa09/
Ezequiel Ivàn Lavezzi FIFA 09,/player/159065/ezequiel-iv%C3%A0n-lavezzi/fifa09/
Gökhan Inler FIFA 09,/player/158810/g%C3%B6khan-inler/fifa09/
Mohamed Lamine Sissoko FIFA 09,/player/157393/mohamed-lamine-sissoko/fifa09/
Romaric FIFA 09,/player/156585/romaric/fifa09/
Scott McDonald FIFA 09,/player/155964/scott-mcdonald/fifa09/
Yuri Zhirkov FIFA 09,/player/154950/yuri-zhirkov/fifa09/
Rodrigo Palacio FIFA 09,/player/152999/rodrigo-palacio/fifa09/
Aaron Lennon FIFA 09,/player/152747/aaron-lennon/fifa09/
Christian Maggio FIFA 09,/player/149184/christian-maggio/fifa09/
Luisão FIFA 09,/player/148711/luis%C3%A3o/fifa09/
Sylvinho FIFA 09,/player/146641/sylvinho/fifa09/
Santi Cazorla FIFA 09,/player/146562/santi-cazorla/fifa09/
Fábio Luciano FIFA 09,/player/143641/f%C3%A1bio-luciano/fifa09/
Matías Emilio Delgado FIFA 09,/player/143068/mat%C3%ADas-emilio-delgado/fifa09/
Daniel Alberto Díaz FIFA 09,/player/140274/daniel-alberto-d%C3%ADaz/fifa09/
Dario Srna FIFA 09,/player/139997/dario-srna/fifa09/
Michel Bastos FIFA 09,/player/139843/michel-bastos/fifa09/
Oswaldo Sánchez FIFA 09,/player/139006/oswaldo-s%C3%A1nchez/fifa09/
Pietro Accardi FIFA 09,/player/138885/pietro-accardi/fifa09/
Benjani FIFA 09,/player/138671/benjani/fifa09/
James Milner FIFA 09,/player/138412/james-milner/fifa09/
Bruno Alves FIFA 09,/player/138110/bruno-alves/fifa09/
Vágner Love FIFA 09,/player/137809/v%C3%A1gner-love/fifa09/
Giampaolo Pazzini FIFA 09,/player/137361/giampaolo-pazzini/fifa09/
